model_name,parameters_in_billions,serie,estimated?
360vl-70b,70,360vl-series,
aquila-vl-2b-llava-qwen,2,aquila_series,
aria,24.9,aria_series,
blip2-flan-t5-xl,3.94,blip_flan_series,
blip2-flan-t5-xxl,12.2,blip_flan_series,
blip2-opt-2.7b,2.7,blip_opt_series,
blip2-opt-6.7b,6.7,blip_opt_series,
bunny-llama3-8b,8,bunny_series,
cambrian_13b,13,cambrian_series,
cambrian_34b,34,cambrian_series,
cambrian_8b,8,cambrian_series,
chat-univi,7.5,chat-univi_series,
chat-univi-13b,13,chat-univi_series,
claude-3-5-sonnet-20240620,175,claude3_series,1
claude-3-7-sonnet-20250219,175,claude3_series,1
claude-3-haiku-20240307,70,claude3_series,1
claude-3-opus-20240229,137,claude3_series,1
claude-3-sonnet-20240229,175,claude3_series,1
cogvlm-chat,17,cogvlm_chat_series,
cogvlm-grounding-generalist,17,cogvlm_grounding_series,
cogvlm2-llama3-chat-19b,19,cogvlm2_series,
deepseek-vl-1.3b-chat,3,deepseekvl_series,
deepseek-vl-7b-chat,7,deepseekvl_series,
deepseek-vl2,27.5,deepseek2_series,
deepseek-vl2-small,16.1,deepseek2_series,
deepseek-vl2-tiny,3.37,deepseek2_series,
eagle-x4-13b-plus,13,eagle_series_x4,
eagle-x4-8b-plus,8,eagle_series_x4,
eagle-x5-13b,13,eagle_series_x5,
eagle-x5-13b-chat,13,eagle_series_x5,
eagle-x5-34b-chat,34,eagle_series_x5,
eagle-x5-34b-plus,34,eagle_series_x5,
eagle-x5-7b,7,eagle_series_x5,
emu2-chat,37,emu2_series,
emu3-chat,8.49,emu3_series,
falcon-11b-vlm,11,falcon_series,
fuyu-8b,8,fuyu_series,
gemini-1.5-flash,32,gemini_series,1
gemini-1.5-flash-8b,8,gemini_series,1
gemini-1.5-pro,200,gemini_series,1
gemma-3-12b-it,12,gemma_it_series,
gemma-3-12b-pt,12,gemma_pt_series,
gemma-3-27b-it,27,gemma_it_series,
gemma-3-27b-pt,27,gemma_pt_series,
gemma-3-4b-it,4,gemma_it_series,
gemma-3-4b-pt,4,gemma_pt_series,
glm-4v,,cogvlm_series,
glm-4v-9b,9,cogvlm_series,
glm-4v-plus,,cogvlm_series,
gpt-4-turbo,1800,gpt_series,
gpt-4o,200,gpt_series,
gpt-4o-mini,8,gpt_series,
grok-2-vision-1212,#N/A,grok_series,
h2ovl-mississippi-1b,1,h2ovl_series,
h2ovl-mississippi-2b,2,h2ovl_series,
hunyuan-vision,#N/A,hunyun_series,
idefics_80b_instruct,80,idefics_series,
idefics_9b_instruct,9,idefics_series,
idefics2_8b,8,idefics2_series,
idefics3-8b-llama3,8,idefics3_series,
instructblip-flan-t5-xl,4.02,instructblip_flan_series,
instructblip-flan-t5-xxl,12.3,instructblip_flan_series,
instructblip-vicuna-13b,13,instructblip_vicuna_series,
instructblip-vicuna-7b,7,instructblip_vicuna_series,
internlm-xcomposer2-4khd-7b,7,xcomposer_hkd_series,
internlm-xcomposer2-7b,7,xcomposer_series,
internlm-xcomposer2-vl-1_8b,8,xcomposer2_1_series,
internlm-xcomposer2-vl-7b,7,xcomposer2_series,
internlm-xcomposer2d5-7b,7,xcomposer2_5_series,
internvl-chat-v1-1,19,internvl1_series,
internvl-chat-v1-2,40,internvl1_2_series,
internvl-chat-v1-2-plus,40,internvl1_2_plus_series,
internvl-chat-v1-5,25.5,internvl1_5_series,
internvl2_5-1b,1,internvl2d5_series,
internvl2_5-26b,26,internvl2d5_series,
internvl2_5-2b,2,internvl2d5_series,
internvl2_5-38b,38,internvl2d5_series,
internvl2_5-4b,4,internvl2d5_series,
internvl2_5-78b,78,internvl2d5_series,
internvl2_5-8b,8,internvl2d5_series,
internvl2-1b,1,internvl2_series,
internvl2-26b,26,internvl2_series,
internvl2-2b,2,internvl2_series,
internvl2-40b,40,internvl2_series,
internvl2-4b,4,internvl2_series,
internvl2-76b,76,internvl2_series,
internvl2-8b,8,internvl2_series,
internvl2-8b-mpo,8,internvl2_series,
internvl2-8b-mpo-cot,8,internvl2_series,
janus-1.3b,1.3,janus_series,
janus-pro-1b,1,januspro_series,
janus-pro-7b,7,januspro_series,
janusflow-1.3b,1.3,janusflow_series,
kosmos2,1.6,kosmos_series,
llama-3-longvila-8b-1024frames,8,longvila1024_series,
llama-3-longvila-8b-128frames,8,longvila128_series,
llama-3-longvila-8b-256frames,8,longvila256_series,
llama-3-longvila-8b-512frames,8,longvila512_series,
llama-3-mixsensev1_1,8,#N/A,
llama-3-vila1.5-8b,8,vila1.5_series,
llama-3-vila1.5-8b-fix,8,vila1.5_fix_series,
llama-3.2-11b-vision-instruct,11,llama_series,
llama-3.2-90b-vision-instruct,90,llama_series,
llama-3.2v-11b-cot,10.7,llama_cot_series,
llava_next_110b,110,llava_next_series,
llava_next_72b,72,llava_next_series,
llava_next_interleave_7b,7,llava_next_interleave_series,
llava_next_interleave_7b_dpo,7,llava_next_interleave_dpo_series,
llava_next_llama3,83.5,llava_next_series,
llava_next_mistral_7b,7,llava_next_series,
llava_v1.5_13b,13,llava_series,
llava_v1.5_7b,7,llava_series,
llava-internlm-7b,7,llava_internlm_series,
llava-llama-3-8b,8,llava_llama_series,
llava-next-video-32b-qwen,32,llava_next_video_series,
llava-next-video-32b-qwen_multi_frame,32,llava_next_video_multiframe_series,
llava-next-video-7b,7,llava_next_video_series,
llava-next-video-7b_multi_frame,7,llava_next_video_multiframe_series,
llava-next-video-7b-dpo,7,llava_next_video_dpo_series,
llava-next-video-7b-dpo_multi_frame,7,llava_next_video_dpo_multiframe_series,
llava-onevision-qwen2-0.5b-ov-hf,5,llava_onevision_series,
llava-onevision-qwen2-0.5b-si-hf,5,llava_onevision_series,
llava-onevision-qwen2-72b-ov-chat-hf,72,llava_onevision_series,
llava-onevision-qwen2-72b-ov-hf,72,llava_onevision_series,
llava-onevision-qwen2-72b-si-hf,72,llava_onevision_series,
llava-onevision-qwen2-7b-ov-chat-hf,7,llava_onevision_series,
llava-onevision-qwen2-7b-ov-hf,7,llava_onevision_series,
llava-onevision-qwen2-7b-si-hf,7,llava_onevision_series,
llava-v1.5-13b-xtuner,13,xtuner_series,
llava-v1.5-7b-xtuner,7,xtuner_series,
llava-v1.6-34b-hf,34,llava1_6_series,
llava-v1.6-vicuna-13b-hf,13,llava1_6_series,
llava-v1.6-vicuna-7b-hf,7,llava1_6_series,
llava-video-72b-qwen2,72,llava_video_series,
llava-video-72b-qwen2_multi_frame,72,llava_video_multiframe_series,
llava-video-7b-qwen2,7,llava_video_series,
llava-video-7b-qwen2_multi_frame,7,llava_video_multiframe_series,
llava-video-7b-qwen2-video-only,7,llava_video_video_only_series,
llava-video-7b-qwen2-video-only_multi_frame,7,llava_video_video_only_multiframe_series,
mantis-8b-clip-llama3,8,mantis_llama3_series,
mantis-8b-fuyu,8,mantis_fuyu_series,
mantis-8b-idefics2,8,mantis_idefics2_series,
mantis-8b-siglip-llama3,8,mantis_siglip_series,
mgm-7b-hd,7,mgm,
mini-internvl-chat-2b-v1-5,2,mini_internvl_series,
mini-internvl-chat-4b-v1-5,4,mini_internvl_series,
minicpm-llama3-v-2_5,8.54,minicpm_llama_series,
minicpm-v,3.43,minicpm_series,
minicpm-v-2_6,8.1,minicpm_series,
minigpt_4_13b,13,minigpt4_series,
minigpt_4_7b,7,minigpt4_series,
minigpt_4_v2,13,minigpt4_v2_series,
minimonkey,1.8,monkey_series,
mmalaya,9.8,mmalaya_series,
mmalaya2,25.5,mmalaya_series,
molmo-72b-0924,72,molmo_series,
molmo-7b-d-0924,7,molmo_series,
molmo-7b-o-0924,7,molmo_series,
molmoe-1b-0924,1,molmo_series,
monkey,,monkey_series,
monkey-chat,7,monkey_series,
moondream1,1.6,moondream1_series,
moondream2,1.93,moondream2_series,
mplug-owl2-llama2-7b,7,mplug2_series,
mplug-owl3,7,mplug3_series,
nvlm-d-72b,72,nvlm_series,
o1-2024-12-17,300,gpt_o1_series,1
omchat,13,omchat_series,
omnilmm-12b,12,omnilmm_series,
openflamingo-9b-vitl-mpt7b,9,openflamingo_series,
ovis1.5-gemma2-9b,9,ovis_series,
ovis1.5-llama3-8b,8,ovis_series,
ovis1.6-gemma2-27b,27,ovis_series,
ovis1.6-gemma2-9b,9,ovis_series,
ovis1.6-llama3.2-3b,3,ovis_series,
paligemma-3b-mix-448,3,paligemma_series,
parrot-14b,14,parrot_series,
parrot-7b,7,parrot_series,
phi-3-vision,4.2,phi3_series,
phi-3.5-vision,4,phi3_5_series,
phi-4-multimodal-instruct,5.6,phi4_series,
pixtral-12b-2409,12,pixtral_series,
pllava-13b,13,pllava_series,
pllava-34b,34,pllava_series,
pllava-7b,7,pllava_series,
points-qwen-2.5-7b-chat,7,points_series,
qvq-72b-preview,73.4,#N/A,
qwen_base,#N/A,#N/A,
qwen_chat,#N/A,#N/A,
qwen-vl-max-2025-01-25,32.5,#N/A,1
qwen-vl-plus-2025-01-25,32.5,#N/A,1
qwen2-vl-2b-instruct,2,qwen2vl_series,
qwen2-vl-72b-instruct,72,qwen2vl_series,
qwen2-vl-7b-instruct,7,qwen2vl_series,
qwen2.5-omni-7b,7,qwen2_5_omni_series,
qwen2.5-vl-3b-instruct,3,qwen2_5_vl_series,
qwen2.5-vl-3b-instruct_video,3,qwen2_5_vl_series,
qwen2.5-vl-72b-instruct,72,qwen2_5_vl_series,
qwen2.5-vl-72b-instruct_video,72,qwen2_5_vl_series,
qwen2.5-vl-7b-instruct,7,qwen2_5_vl_series,
qwen2.5-vl-7b-instruct_video,7,qwen2_5_vl_series,
reka-core,,reka_series,1
reka-edge,,reka_series,1
reka-flash,,reka_series,1
sharegpt4v_13b,13,sharegpt4v_series,
sharegpt4v_7b,7,sharegpt4v_series,
smolvlm,2.3,smolvlm_series,
smolvlm-dpo,2.3,smolvlm_dpo_series,
step-1.5v-mini,,step_series,
step-1o-turbo-vision,#N/A,step_series,
step-1v-32k,,step_series,
transcore-m,13.4,#N/A,
valley-13b-v1-delta,13,valley_series,
valley2-7b,7,valley_series,
video_chat_13b,13,video_chat_series,
video_chat_7b,7,video_chat_series,
video_chatgpt-7b,7,video_chatgpt_series,
video-llava-7b,7,video_llava_series,
videochat2_hd_stage4_mistral_7b_hf,7,video_chat2_stage4_series,
videochat2_stage3_mistral_7b,7,video_chat2_stage3_series,
videollama2-72b,72,videollama2_series,
videollama2-7b,7,videollama2_series,
videollama2-7b-16f,7,videollama2_16f_series,
videollama2.1-7b-16f,7,videollama2_1_series,
vila1.5-13b,13,vila_series,
vila1.5-3b,3,vila_series,
vila1.5-3b-s2,3,vila_series,
vila1.5-40b,40,vila_series,
vintern-1b-v2,1,vintern_series,
vintern-3b-beta,3,vintern_series,
visualglm-6b,6,visualglm_series,
wemm,7,wemm_series,
wemm-chat-2k-cn,#N/A,wemm_chat_2k_series,
wemm-chat-cn,#N/A,wemm_chat_series,
xcomposer,8,xcomposer_series,
xgen-mm-phi3-dpo-r-v1.5,4.36,​xgen-mm_dpo_series,
xgen-mm-phi3-interleave-r-v1.5,4,​xgen-mm_interleave_series,
xinyuan-vl-2b-instruct,2,xinyuanvl_series,
xverse-v-13b,13,xverse_series,
yi-vision-v2,#N/A,yi_series,
yi-vl-34b,34,yivl_series,
yi-vl-6b,6,yivl_series,
