Stimulus_ID,Angle,Proximity,n_candidates,Candidates,Actor,path,label,annotator,list_id,Site,HeadTarget,face_x_min,face_y_min,face_x_max,face_y_max,option1_x,option1_y,option2_x,option2_y,option3_x,option3_y,option4_x,option4_y
0,front,1,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/1/front/IMG_9963.JPG,water,annotator1,7,Site0,-1,0.436420346,0.202936541,0.616500463,0.453954955,0.690440377,0.769305963,0.335647346,0.890518084,-1.0,-1.0,-1.0,-1.0
1,front,1,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/1/front/IMG_9964.JPG,water,annotator1,3,Site0,-1,0.434953232,0.21115888,0.608199837,0.445732615,0.694896239,0.721407625,0.319252308,0.866080156,-1.0,-1.0,-1.0,-1.0
2,front,1,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/1/front/IMG_9965.JPG,coffee,annotator1,9,Site0,-1,0.449574349,0.18769847,0.618859558,0.422272205,0.704264842,0.744868035,0.347579026,0.853372434,-1.0,-1.0,-1.0,-1.0
3,front,1,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/1/front/IMG_9966.JPG,coffee,annotator1,3,Site0,-1,0.455114327,0.200729397,0.615843728,0.422926517,0.711799042,0.671554252,0.379227957,0.832844575,-1.0,-1.0,-1.0,-1.0
4,left,1,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/1/left/IMG_9959.JPG,water,annotator1,14,Site0,-1,0.598051477,0.258012467,0.723909288,0.43211461,0.110851345,0.542521994,0.175784609,0.548387097,-1.0,-1.0,-1.0,-1.0
5,left,1,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/1/left/IMG_9960.JPG,water,annotator1,6,Site0,-1,0.603392415,0.251169847,0.735413506,0.42527199,0.108056958,0.542521994,0.173456492,0.548387097,-1.0,-1.0,-1.0,-1.0
6,left,1,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/1/left/IMG_9961.JPG,coffee,annotator1,17,Site0,-1,0.592748413,0.251169847,0.710556423,0.42527199,0.102200497,0.542521994,0.168577239,0.548387097,-1.0,-1.0,-1.0,-1.0
7,left,1,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/1/left/IMG_9962.JPG,coffee,annotator1,3,Site0,-1,0.606330461,0.256831531,0.723362898,0.427430443,0.122447927,0.542521994,0.192060601,0.560117302,-1.0,-1.0,-1.0,-1.0
8,right,1,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/1/right/IMG_9967.JPG,water,annotator1,5,Site0,-1,0.203426986,0.276778931,0.329,0.503302392,0.935483871,0.623647223,0.832844575,0.805239824,-1.0,-1.0,-1.0,-1.0
9,right,1,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/1/right/IMG_9968.JPG,water,annotator1,9,Site0,-1,0.219056989,0.319795482,0.334217694,0.501980984,0.890518084,0.617801409,0.801564027,0.790808645,-1.0,-1.0,-1.0,-1.0
10,right,1,2,water+coffee,X,./stimuli/A_cropped/bottle_coffee_X/1/right/IMG_9969.JPG,coffee,annotator1,4,Site0,-1,0.130344822,0.266197186,0.291942568,0.464539507,0.884652981,0.577103588,0.788856305,0.75448179,-1.0,-1.0,-1.0,-1.0
